,name,rating,location,price
985,My City Home - Acogedor apartamento en Chueca,,"8 Calle de Barbieri, Centro, 28004 Madrid, Spain","€ 1,764"
986,Exclusivo Apartamento en Sol,,"3 Calle de Espoz y Mina, Centro, 28012 Madrid, Spain","€ 2,032"
987,BNBHolder Design Loft Duplex LA LATINA,7.8,"Calle de los Mancebos, Centro, 28005 Madrid, Spain","€ 3,185"
988,Apartamentos Day Madrid PIZARRO Centro Gran Via Sol Malasaña,7.6,"4 Calle de Pizarro, Centro, 28004 Madrid, Spain","€ 1,337"
989,Chueca Boutique Barbieri,6.5,"Calle de Barbieri, 3, Centro, 28004 Madrid, Spain","€ 1,179"
990,"Apartamento Madrid, 1 dormitorio, 4 personas - ES-183-1",,"OLIVAR 42, Centro, 28013 Madrid, Spain","€ 1,225"
991,Behap Madrid Plaza del Carmen,8.2,"36 Calle de Tetuán, Centro, 28013 Madrid, Spain","€ 5,324"
992,CH Apartamento Plaza del Angel - Semisótano,6.7,"13 Plaza del Ángel, Centro, 28012 Madrid, Spain","€ 2,685"
993,BNBHolder Charming & Stylish CHUECA,8.6,"Calle de Augusto Figueroa, Centro, 28004 Madrid, Spain","€ 1,810"
994,"Apartamento Madrid, 1 dormitorio, 4 personas - ES-183-26",,"DE LA Sombrerería 6, Centro, 28013 Madrid, Spain","€ 1,225"
995,"Apartamento Madrid, 1 dormitorio, 4 personas - ES-183-55",,"MOLINO DEL VIENTO 6, Centro, 28013 Madrid, Spain","€ 1,253"
996,Calle Amparo 86 Lujoso Dúplex con Jacuzzi en Lavapies especial parejas,,"86 Calle del Amparo local 3, Centro, 28012 Madrid, Spain","€ 1,913"
997,AmazINN Places Gran Via VI,5.0,"Calle  de San Bernardo, 25, Centro, 28015 Madrid, Spain","€ 1,538"
998,Oshun - Wonderfull Apartment Tematic in Gran Via,7.7,"Calle del Caballero de Gracia, Centro, 28013 Madrid, Spain","€ 2,752"
999,Elegant 3 Bedroom in La Latina,4.3,"Centro, 28005 Madrid, Spain","€ 1,670"
