,name,rating,location,price
435,Fantastic 2 Bedroom 5 minutes by car from Plaza Catalunya,6.2,"Eixample, 08015 Barcelona, Spain","€ 1,797"
436,Twentytú Hostel,7.7,"Pamplona, 114, Sant Martí, 08018 Barcelona, Spain","€ 1,892"
437,Catedral Bas Apartments by Aspasios,9.3,"Duran i Bas, 7, Ciutat Vella, 08002 Barcelona, Spain","€ 1,799"
438,Fabrizzio's Petit,9.0,"Bruc, 65, 2º 2ª, Eixample, 08009 Barcelona, Spain","€ 1,286"
439,Dalia Ramblas,8.3,"Sant Pau, 22, Ciutat Vella, 08001 Barcelona, Spain","€ 19,012"
440,Easy Sants by Bossh!,6.9,"Del Vallespir 34, Sants-Montjuïc, 08014 Barcelona, Spain","€ 1,204"
441,Vilana Hotel Boutique,8.3,"Vilana, 7, Sarrià-St. Gervasi, 08017 Barcelona, Spain","€ 1,027"
442,HG City Suites Barcelona,8.8,"Via Augusta, 89-91, Sarrià-St. Gervasi, 08006 Barcelona, Spain",€ 840
443,My Space Barcelona Pool City Center,5.0,"Roger de Flor, 70, Eixample, 08013 Barcelona, Spain","€ 2,164"
444,Hostal Martinval,8.0,"Bruc, 117, Principal, Eixample, 08009 Barcelona, Spain",€ 798
445,Hostal Colkida,7.6,"Roger De Lluria 47, Eixample, 08009 Barcelona, Spain",€ 880
446,You Stylish Sagrada Familia Apartments,9.0,"503 Carrer de Provença, Eixample, 08025 Barcelona, Spain","€ 1,781"
447,numa l Roca Rooms & Apartments,8.4,"Carrer De Girona, 81 & 85, Eixample, 08009 Barcelona, Spain","€ 1,281"
448,Twenty by Pillow,,"Cardenal Casañas, 11, Ciutat Vella, 08002 Barcelona, Spain","€ 1,016"
449,"Casa Consell Gran Via, Guest House",8.7,"Gran Vía de les Corts Catalanes, 688 Principal, Eixample, 08010 Barcelona, Spain","€ 1,020"
450,Hostal Martinval,8.0,"Bruc, 117, Principal, Eixample, 08009 Barcelona, Spain",€ 798
451,Eric Vökel Boutique Apartments - BCN Suites,8.9,"Grassot, 4, Gràcia, 08025 Barcelona, Spain","€ 1,463"
452,Twenty by Pillow,,"Cardenal Casañas, 11, Ciutat Vella, 08002 Barcelona, Spain","€ 1,016"
453,Hostal Colkida,7.6,"Roger De Lluria 47, Eixample, 08009 Barcelona, Spain",€ 880
454,You Stylish Sagrada Familia Apartments,9.0,"503 Carrer de Provença, Eixample, 08025 Barcelona, Spain","€ 1,869"
455,HG City Suites Barcelona,8.8,"Via Augusta, 89-91, Sarrià-St. Gervasi, 08006 Barcelona, Spain",€ 840
456,Enjoybcn Patio de Gracia,8.2,"Via Augusta, 58 - 60, Gràcia, 08006 Barcelona, Spain","€ 2,105"
457,numa l Roca Rooms & Apartments,8.4,"Carrer De Girona, 81 & 85, Eixample, 08009 Barcelona, Spain","€ 1,348"
458,Valencia habitaciones,,"31 Carrer de València, Eixample, 08015 Barcelona, Spain",€ 519
