,name,rating,location,price
986,"Apartamento Madrid, 3 dormitorios, 7 personas - ES-183-56",,"ESPIRITU SANTO 28, Centro, 28013 Madrid, Spain","€ 1,329"
987,MIT House Paseo del Prado II en Madrid,7.1,"Jesus, 2, Centro, 28014 Madrid, Spain","€ 2,208"
988,Modern in Downtown area-2Beds 1Bath-Plaza Mayor,8.5,"5 Calle del Duque de Rivas, Centro, 28012 Madrid, Spain","€ 1,508"
989,MIT House Principe Terrace en Madrid,7.0,"Principe, 16, Centro, 28012 Madrid, Spain","€ 1,552"
990,Stylish Loft with 2 beedrooms 5pax en La Latina,,"12 Calle del Ángel, Centro, 28005 Madrid, Spain","€ 1,280"
991,Luxury12 GRAN VIA,,"Corredera Baja de San Pablo, Centro, 28004 Madrid, Spain","€ 2,614"
992,Apartamentos Day Madrid LEGANES Centro Gran Via Sol Malasaña,7.3,"Calle Marqués de Leganés 7, Centro, 28004 Madrid, Spain","€ 2,577"
993,Apartamentos Day Madrid VALLE Centro Gran Via Sol Malasaña,4.7,"16 Calle de Jesús del Valle, Centro, 28004 Madrid, Spain",€ 899
994,My City Home Acogedor apartamento en Reina Sofía,8.0,"25 Calle de Argumosa, Centro, 28012 Madrid, Spain",€ 991
995,APARTAMENTOS SAN ANDRES,7.8,"4 Calle de los Mancebos, Centro, 28005 Madrid, Spain",€ 449
996,Luxury6 GRAN VIA,,"Corredera Baja de San Pablo, Centro, 28004 Madrid, Spain","€ 3,680"
997,Minty Stay - Santa Ana,8.3,"Plaza Santa Ana 10, 1 izq , Centro, 28012 Madrid, Spain","€ 1,873"
998,For You Rentals Puerta del Sol apartment COR2,6.8,"2 Calle del Correo, Centro, 28012 Madrid, Spain",€ 823
999,My City Home - Modern and bright apartment at La Latina,,"18 Calle de los Mancebos, Centro, 28005 Madrid, Spain","€ 1,042"
